Product ID;Product Name;Category;Sub Category;Proveedor ID;Marca;Costo por unidad;Otros impuestos 2%; Total costo ;25%  Rentabilidad;IVA 21%;Precio final;;
P096;Red bull Sugarfree 250ml;Bebidas;Bebida energetica;pr003;Red bull; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P097;Red bull red edition 250ml;Bebidas;Bebida energetica;pr003;Red bull; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P098;Red bull winter edition 250ml;Bebidas;Bebida energetica;pr003;Red bull; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P099;Red bull green edition 250ml;Bebidas;Bebida energetica;pr003;Red bull; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P100;H2o limoneto 500ml;Bebidas;Gaseosas;pr002;H2o; $ 1.550 ;31; $ 1.581 ; $ 1.977 ; $ 415 ; $ 2.392 ;;
P101;H20 citrus 500ml;Bebidas;Gaseosas;pr002;H2o; $ 1.550 ;31; $ 1.581 ; $ 1.977 ; $ 415 ; $ 2.392 ;;
P102;H20 limoneto 1,5l;Bebidas;Gaseosas;pr002;H2o; $ 2.990 ;60; $ 3.050 ; $ 3.812 ; $ 801 ; $ 4.613 ;;
P103;H20 citrus 1,5l;Bebidas;Gaseosas;pr002;H2o; $ 2.990 ;60; $ 3.050 ; $ 3.812 ; $ 801 ; $ 4.613 ;;
P104;H20 limoneto 2,25l;Bebidas;Gaseosas;pr002;H2o; $ 3.765 ;75; $ 3.841 ; $ 4.801 ; $ 1.008 ; $ 5.809 ;;
P105;H20 citrus 2,25l;Bebidas;Gaseosas;pr002;H2o; $ 3.765 ;75; $ 3.841 ; $ 4.801 ; $ 1.008 ; $ 5.809 ;;
P106;H20 pomelo 1,5l;Bebidas;Aguas saborizadas;pr002;H2o; $ 2.658 ;53; $ 2.711 ; $ 3.389 ; $ 712 ; $ 4.100 ;;
P107;H20 manzana 1,5l;Bebidas;Aguas saborizadas;pr002;H2o; $ 2.658 ;53; $ 2.711 ; $ 3.389 ; $ 712 ; $ 4.100 ;;
P108;H20 limonada 1,5l;Bebidas;Aguas saborizadas;pr002;H2o; $ 2.658 ;53; $ 2.711 ; $ 3.389 ; $ 712 ; $ 4.100 ;;
P109;Levite pomelo 500ml;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 1.440 ;29; $ 1.468 ; $ 1.836 ; $ 385 ; $ 2.221 ;;
P110;Levite naranja 500ml;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 1.440 ;29; $ 1.468 ; $ 1.836 ; $ 385 ; $ 2.221 ;;
P111;Levite manzana 500ml;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 1.440 ;29; $ 1.468 ; $ 1.836 ; $ 385 ; $ 2.221 ;;
P112;Levite pera 500ml;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 1.440 ;29; $ 1.468 ; $ 1.836 ; $ 385 ; $ 2.221 ;;
P113;Levite pomelo 1,5l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 2.547 ;51; $ 2.598 ; $ 3.248 ; $ 682 ; $ 3.930 ;;
P114;Levite naranja 1,5l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 2.547 ;51; $ 2.598 ; $ 3.248 ; $ 682 ; $ 3.930 ;;
P115;Levite manzana 1,5l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 2.547 ;51; $ 2.598 ; $ 3.248 ; $ 682 ; $ 3.930 ;;
P116;Levite pera 1,5l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 2.547 ;51; $ 2.598 ; $ 3.248 ; $ 682 ; $ 3.930 ;;
P117;Levite pomelo 2,25l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 3.544 ;71; $ 3.615 ; $ 4.518 ; $ 949 ; $ 5.467 ;;
P118;Levite naranja 2,25l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 3.544 ;71; $ 3.615 ; $ 4.518 ; $ 949 ; $ 5.467 ;;
P119;Levite manzana 2,25l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 3.544 ;71; $ 3.615 ; $ 4.518 ; $ 949 ; $ 5.467 ;;
P120;Levite pera 2,25l;Bebidas;Aguas saborizadas;pr004;Villa del sur; $ 3.544 ;71; $ 3.615 ; $ 4.518 ; $ 949 ; $ 5.467 ;;
P121;Gatorade cool blue 500ml;Bebidas;Bebida isotónic;pr002;Gatorade; $ 1.772 ;35; $ 1.807 ; $ 2.259 ; $ 474 ; $ 2.734 ;;
